0,5,10,15,20
1,6,11,16,21
2,7,12,17,22
3,8,13,18,23
4,9,14,19,24
0,1,2,3,4
5,6,7,8,9
10,11,12,13,14
15,16,17,18,19
20,21,22,23,24
2,6,10,16,22
3,7,11,17,23
4,8,12,18,24
4,7,10,17,24
0,6,12,16,20
1,7,13,17,21
2,8,14,18,22
0,7,14,17,20
10,6,2,8,14
15,11,7,13,19
20,16,12,18,24
20,11,2,13,24
0,6,12,4,8
5,11,17,9,13
10,16,22,14,18
0,11,22,4,13
0,2,6,10,12
1,3,7,11,13
2,4,8,12,14
5,7,11,15,17
6,8,12,16,18
7,9,13,17,19
10,12,16,20,22
11,13,17,21,23
12,14,18,22,24
0,4,12,20,24
1,5,6,7,11
2,6,7,8,12
3,7,8,9,13
6,10,11,12,16
7,11,12,13,17
8,12,13,14,18
11,15,16,17,21
12,16,17,18,22
13,17,18,19,23
2,10,12,14,22
4,8,12,16,20
0,6,12,18,24
2,5,6,7,10
3,6,7,8,11
4,7,8,9,12
7,10,11,12,15
8,11,12,13,16
9,12,13,14,17
12,15,16,17,20
13,16,17,18,21
14,17,18,19,22
4,10,12,14,20
0,5,6,7,12
1,6,7,8,13
2,7,8,9,14
5,10,11,12,17
6,11,12,13,18
7,12,13,14,19
10,15,16,17,22
11,16,17,18,23
12,17,18,19,24
0,10,12,14,24
0,1,6,11,12
1,2,7,12,13
2,3,8,13,14
5,6,11,16,17
6,7,12,17,18
7,8,13,18,19
10,11,16,21,22
11,12,17,22,23
12,13,18,23,24
0,2,12,22,24
2,1,6,11,10
3,2,7,12,11
4,3,8,13,12
7,6,11,16,15
8,7,12,17,16
9,8,13,18,17
12,11,16,21,20
13,12,17,22,21
14,13,18,23,22
4,2,12,22,20
1,5,7,9,13
6,10,12,14,18
11,15,17,19,23
3,5,7,9,11
8,10,12,14,16
13,15,17,19,21
1,5,11,17,21
2,6,12,18,22
3,7,13,19,23
1,7,11,15,21
2,8,12,16,22
3,9,13,17,23
0,1,7,13,14
5,6,12,18,19
10,11,17,23,24
3,4,7,10,11
8,9,12,15,16
13,14,17,20,21
0,5,11,17,22
1,6,12,18,23
2,7,13,19,24
2,7,11,15,20
3,8,12,16,21
4,9,13,17,22
5,1,7,3,9
10,6,12,8,14
15,11,17,13,19
20,16,22,18,24
0,6,2,8,4
5,11,7,13,9
10,16,12,18,14
15,21,17,23,19
1,5,11,15,21
2,6,12,16,22
3,7,13,17,23
4,8,14,18,24
0,6,10,16,20
1,7,11,17,21
2,8,12,18,22
3,9,13,19,23
